员工ID,工号,姓名,所属科室,拟岗位,年龄,性别,最高学历,行龄,司龄,近2年绩效平均分,近2年内绩效为B-及以下的次数,近2年内获得A+的次数,近2年内绩效为A及以上的次数,近1年病假天数,近1年事假天数,近2年牵头项目个数,近2年日均工时,组长/骨干标识,重点项目成员标识,敏捷角色（PO/SM）,内部项目支持（担任PM）,外部项目支持（担任PM）,产品经理-业务分析,产品经理-产品设计,近2年行外发表的论文、杂志的数量,近2年获得的部门级以上奖励、荣誉数量,近2年获得的部门级以上的最高荣誉名称,年度部门内分享/培训次数（作为培训者）,年度部门外培训次数（作为培训者）,年度部门外培训次数（作为被培训者）,年度部门内分享/培训次数（作为被培训者）,近2年带教的实习生数量,近2年带教的校招新行员的数量,近2年带教的实习生转正数量,近2年带教的校招新行员转正成绩为A的数量,近3个月查看知识库会议纪要次数,当年资质证书获取情况,数据分析师-数据分析工具运用能力,数据分析师-算法模型开发能力,数据分析师-营销运营能力,数据研发师-SQL开发,数据研发师-数据模型设计,数据研发师-业务理解,应用研发-技术架构设计,应用研发-应用开发能力,AI算法工程师-数学与建模理论基础,AI算法工程师-编程与工程实现,学习能力,创新思维,任务拆解能力,领导力,团队合作,综合评价（A+、A、A-、B、B-）-直属上级,综合评价（A+、A、A-、B、B-）-同级同事,综合评价（A+、A、A-、B、B-）-下级（如有）,特长,兴趣爱好,_summary,所属分组,近期工作任务,手头项目,工作类型,应用领域,工作饱和度,科室周报联动,考试成绩,成绩等级,代码行数,迟到次数,月度加班时长,技能匹配度,经验丰富度,吃苦耐劳度,创新潜力
162,300162,苏婷,数据开发部,负责人,24.3,男,硕士,2.6,1.4,3.02,1,0,1,5,2,1,8.1,0,0,0,0,0,0,0,1,0,无,1,1,1,3,2,0,1,1,21,否,3,3,3,3,2,2,3,5,3,2,4,5,3,5,5,B+,A-,B+,英语,烹饪,苏婷（数据开发部/负责人） | 男，24.3岁，硕士，行龄2.6年 | 绩效3.02分，日均工时8.1h，牵头项目1个 | 最强技能：应用开发能力(5分)、数据分析工具运用能力(3分)、算法模型开发能力(3分) | 软技能：创新思维5分/领导力5分/团队合作5分 | 360评价：上级B+/同级A- | 分组：架构安全组 | 工作类型：项目管理（含外包管理）/其他/需求分析 | 饱和度：72.7%(正常) | 手头项目：East数据质量AI分析、大模型智能体日常运维与功能迭代,数仓开发组,"[""绿色金融智能体人才梯队建设，完成监控告警模块的骨干培养计划"", ""火山引擎POC绩效考核，完成测试框架的评优与改进面谈"", ""A模式POC验证团队管理与目标分解，完成可视化组件的OKR制定与跟踪"", ""新行员培训项目绩效考核，完成指标计算模块的评优与改进面谈"", ""参与零小海信义贷技改战略对接，完成消息队列模块的高层汇报材料""]","[""East数据质量AI分析"", ""大模型智能体日常运维与功能迭代""]","[""项目管理（含外包管理）"", ""其他"", ""需求分析""]","[""智能问数助手""]","{""总体饱和度"": 72.7, ""开发/实施占比"": 61.1, ""会议沟通占比"": 24.3, ""文档撰写占比"": 5.2, ""学习提升占比"": 9.4, ""负荷等级"": ""正常""}",,69,及格,8724,2,7.0,73,68,85,76
163,300163,何远紫,研发管理部,数据研发,25.9,男,本科,6.6,2.5,3.46,0,0,1,3,0,2,8.9,0,0,0,0,0,0,0,0,0,无,2,2,0,3,2,1,0,1,17,是,5,5,3,3,4,2,2,2,4,4,2,2,3,3,2,A,A,A+,数据分析,阅读,何远紫（研发管理部/数据研发） | 男，25.9岁，本科，行龄6.6年 | 绩效3.46分，日均工时8.9h，牵头项目2个 | 最强技能：数据分析工具运用能力(5分)、算法模型开发能力(5分)、数据模型设计(4分) | 软技能：任务拆解能力3分/领导力3分/学习能力2分 | 360评价：上级A/同级A | 岗位匹配：中(技能均分3.0) | 分组：架构安全组 | 工作类型：开发（含模型、应用、数仓等）/数据治理/测试 | 饱和度：90.3%(饱和) | 手头项目：智能问数二期、大模型客服技改、信贷场景MVP日常运维与功能迭代,技术规划组,"[""Hadoop数据仓库数据质量检核规则配置，修复消息队列模块数据异常"", ""数据安全脱敏网关系统SQL性能调优，解决数据接入层慢查询问题"", ""流水鉴真系统SQL性能调优，解决模型训练层慢查询问题""]","[""智能问数二期"", ""大模型客服技改"", ""信贷场景MVP日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""数据治理"", ""测试""]","[""智能尽调助手""]","{""总体饱和度"": 90.3, ""开发/实施占比"": 61.7, ""会议沟通占比"": 17.7, ""文档撰写占比"": 7.8, ""学习提升占比"": 12.8, ""负荷等级"": ""饱和""}",,72,良好,2032,3,1.0,76,99,81,72
164,300164,吴刚知,智能应用二部,应用研发,32.8,男,本科,5.9,3.4,2.64,1,0,2,0,0,0,7.3,0,1,0,0,0,0,0,0,0,无,0,1,1,2,1,1,1,1,23,否,3,4,2,3,2,2,3,4,3,5,1,5,2,3,2,B-,A-,A+,写作,羽毛球,吴刚知（智能应用二部/应用研发） | 男，32.8岁，本科，行龄5.9年 | 绩效2.64分，日均工时7.3h，牵头项目0个 | 角色：重点项目成员 | 最强技能：编程与工程实现(5分)、算法模型开发能力(4分)、应用开发能力(4分) | 软技能：创新思维5分/领导力3分/任务拆解能力2分 | 360评价：上级B-/同级A- | 岗位匹配：中(技能均分3.5) | 分组：零售应用组 | 工作类型：开发（含模型、应用、数仓等）/生产运维/测试 | 饱和度：73.5%(正常) | 手头项目：长文本智能分析、信用卡智能后督、数据测试平台日常运维与功能迭代,零售应用组,"[""参与智能问数二期代码评审，完成监控告警模块的技术债务清理"", ""智能数据血缘分析工具微服务架构升级，完成测试框架的服务拆分与治理"", ""Openclaw框架调研技术方案设计，输出知识图谱模块的详细设计文档""]","[""长文本智能分析"", ""信用卡智能后督"", ""数据测试平台日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""生产运维"", ""测试""]","[""智能尽调助手""]","{""总体饱和度"": 73.5, ""开发/实施占比"": 66.5, ""会议沟通占比"": 23.8, ""文档撰写占比"": 9.8, ""学习提升占比"": 0, ""负荷等级"": ""正常""}",,75,良好,5510,1,24.8,87,53,92,62
165,300165,周青,数据开发部,应用研发,37.7,女,博士,0.6,2.6,3.47,0,1,1,3,0,2,7.3,0,0,0,0,0,0,0,0,0,无,2,1,0,0,0,1,0,0,21,否,3,2,5,2,3,3,3,4,2,2,2,3,3,3,3,A-,B+,A-,数学,绘画,周青（数据开发部/应用研发） | 女，37.7岁，博士，行龄0.6年 | 绩效3.47分，日均工时7.3h，牵头项目2个 | 最强技能：营销运营能力(5分)、应用开发能力(4分)、数据分析工具运用能力(3分) | 软技能：创新思维3分/任务拆解能力3分/领导力3分 | 360评价：上级A-/同级B+ | 岗位匹配：中(技能均分3.5) | 分组：监管统计组 | 工作类型：开发（含模型、应用、数仓等）/测试/生产运维 | 饱和度：75.4%(正常) | 手头项目：火山引擎POC、反诈机器学习模型、超级工作台MVP、East数据质量分析日常运维与功能迭代,模型设计组,"[""Openclaw框架调研技术方案设计，输出任务调度模块的详细设计文档"", ""通用办公助手技术方案设计，输出知识图谱模块的详细设计文档"", ""数据测试平台安全漏洞修复，完成推理服务层的代码审计与加固""]","[""火山引擎POC"", ""反诈机器学习模型"", ""超级工作台MVP"", ""East数据质量分析日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""测试"", ""生产运维""]","[""大模型智能体"", ""长文本智能分析""]","{""总体饱和度"": 75.4, ""开发/实施占比"": 54.8, ""会议沟通占比"": 22.7, ""文档撰写占比"": 14.9, ""学习提升占比"": 7.6, ""负荷等级"": ""正常""}",,68,及格,2397,2,32.0,65,67,72,57
166,300166,宋磊欣,智能应用一部,数据分析,32.2,男,本科,4.9,0.5,3.1,0,0,0,0,2,2,9.2,0,0,0,0,0,0,0,1,1,优秀员工,2,0,1,1,0,0,0,0,12,否,4,3,3,4,5,4,3,3,3,5,4,3,1,3,4,B-,A+,A,沟通,电影,宋磊欣（智能应用一部/数据分析） | 男，32.2岁，本科，行龄4.9年 | 绩效3.1分，日均工时9.2h，牵头项目2个 | 最强技能：数据模型设计(5分)、编程与工程实现(5分)、数据分析工具运用能力(4分) | 软技能：学习能力4分/团队合作4分/创新思维3分 | 360评价：上级B-/同级A+ | 岗位匹配：中(技能均分3.3) | 分组：项目管理团队 | 工作类型：数据分析/需求分析/开发（含模型、应用、数仓等） | 饱和度：105.3%(高负荷) | 手头项目：大模型客服技改、Kafka消息集群日常运维与功能迭代,AI产品运营组,"[""知识库问答系统用户行为分析，完成用户权限模块的客群画像"", ""参与客服辅助项目数据分析专项，完成向量检索模块的深度挖掘"", ""冷热分离工具用户行为分析，完成报表生成模块的客群画像"", ""参与DataFun论坛项目数据分析专项，完成知识图谱模块的深度挖掘""]","[""大模型客服技改"", ""Kafka消息集群日常运维与功能迭代""]","[""数据分析"", ""需求分析"", ""开发（含模型、应用、数仓等）""]","[""联机服务集群"", ""大模型智能体""]","{""总体饱和度"": 105.3, ""开发/实施占比"": 55.6, ""会议沟通占比"": 16.5, ""文档撰写占比"": 9.4, ""学习提升占比"": 18.5, ""负荷等级"": ""高负荷""}",,75,良好,7516,1,24.2,85,63,99,62
167,300167,宋红洛,数据开发部,算法工程,29.0,女,博士,4.8,5.4,3.96,0,0,1,4,2,1,6.7,0,1,0,0,0,0,0,1,1,最佳团队奖,0,0,0,3,3,2,0,0,24,否,4,3,4,2,4,4,4,3,3,4,5,3,3,2,3,B+,A+,A,项目管理,游戏,宋红洛（数据开发部/算法工程） | 女，29.0岁，博士，行龄4.8年 | 绩效3.96分，日均工时6.7h，牵头项目1个 | 角色：重点项目成员 | 最强技能：数据分析工具运用能力(4分)、营销运营能力(4分)、数据模型设计(4分) | 软技能：学习能力5分/创新思维3分/任务拆解能力3分 | 360评价：上级B+/同级A+ | 岗位匹配：中(技能均分3.5) | 分组：应用开发组 | 工作类型：开发（含模型、应用、数仓等）/项目管理（含外包管理）/数据分析 | 饱和度：82.9%(正常) | 手头项目：East数据质量AI分析、客户经理超级工作台日常运维与功能迭代,模型设计组,"[""实时开发平台智能体开发，完成报表生成模块的Agent工作流设计"", ""极客大赛算法方案评审，输出测试框架的技术可行性分析"", ""East数据质量分析智能体开发，完成测试框架的Agent工作流设计""]","[""East数据质量AI分析"", ""客户经理超级工作台日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""项目管理（含外包管理）"", ""数据分析""]","[""离线数据开发""]","{""总体饱和度"": 82.9, ""开发/实施占比"": 58.0, ""会议沟通占比"": 22.1, ""文档撰写占比"": 14.3, ""学习提升占比"": 5.6, ""负荷等级"": ""正常""}",,72,良好,11730,1,4.7,93,60,99,60
168,300168,丁海清,数据治理部,数据研发,30.5,女,硕士,0.9,6.1,3.24,1,0,2,1,1,4,7.7,0,1,0,0,1,0,0,0,0,无,1,0,1,2,1,0,0,0,24,否,3,3,3,2,3,4,2,4,1,3,5,4,3,3,4,A+,B+,A,英语,绘画,丁海清（数据治理部/数据研发） | 女，30.5岁，硕士，行龄0.9年 | 绩效3.24分，日均工时7.7h，牵头项目4个 | 角色：重点项目成员、外部PM | 最强技能：应用开发能力(4分)、数据分析工具运用能力(3分)、算法模型开发能力(3分) | 软技能：学习能力5分/创新思维4分/团队合作4分 | 360评价：上级A+/同级B+ | 岗位匹配：中(技能均分3.0) | 分组：架构安全组 | 工作类型：开发（含模型、应用、数仓等）/数据治理/测试 | 饱和度：100.0%(高负荷) | 手头项目：East数据质量AI分析、AI手机银行日常运维与功能迭代,监管数据治理,"[""智能问数助手SQL性能调优，解决向量检索模块慢查询问题"", ""冷热分离工具SQL性能调优，解决模型训练层慢查询问题"", ""智能外呼分析数据质量检核规则配置，修复数据清洗模块数据异常""]","[""East数据质量AI分析"", ""AI手机银行日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""数据治理"", ""测试""]","[""East数据质量分析"", ""数据采集工具""]","{""总体饱和度"": 100.0, ""开发/实施占比"": 64.0, ""会议沟通占比"": 16.8, ""文档撰写占比"": 5.9, ""学习提升占比"": 13.3, ""负荷等级"": ""高负荷""}",,74,良好,14168,3,40.1,86,60,58,67
169,300169,谭青海,数据开发部,需求分析,24.5,女,本科,4.9,5.0,3.45,1,0,0,2,2,0,8.1,1,0,0,0,0,0,0,0,1,优秀员工,3,0,0,3,2,1,1,1,16,否,2,4,2,4,3,3,2,4,4,5,5,3,5,3,4,B,A,B,英语,摄影,谭青海（数据开发部/需求分析） | 女，24.5岁，本科，行龄4.9年 | 绩效3.45分，日均工时8.1h，牵头项目0个 | 角色：组长/骨干 | 最强技能：编程与工程实现(5分)、算法模型开发能力(4分)、SQL开发(4分) | 软技能：学习能力5分/任务拆解能力5分/团队合作4分 | 360评价：上级B/同级A | 分组：零售应用组 | 工作类型：需求分析/数据分析/项目管理（含外包管理） | 饱和度：93.1%(饱和) | 手头项目：长文本智能分析、客服辅助项目、智能数据血缘分析工具日常运维与功能迭代,需求接入组,"[""数据脱敏工具用户体验优化，完成用户权限模块的交互流程改进"", ""组织反诈机器学习模型业务培训，完成向量检索模块的操作手册编写"", ""参与对公信贷智能化需求变更管理，完成缓存层的影响评估"", ""通用办公助手需求评审会议组织，完成用户权限模块的需求澄清与确认"", ""参与新行员培训项目需求变更管理，完成用户权限模块的影响评估""]","[""长文本智能分析"", ""客服辅助项目"", ""智能数据血缘分析工具日常运维与功能迭代""]","[""需求分析"", ""数据分析"", ""项目管理（含外包管理）""]","[""智能外呼分析"", ""会话式人工智能服务""]","{""总体饱和度"": 93.1, ""开发/实施占比"": 41.5, ""会议沟通占比"": 21.6, ""文档撰写占比"": 10.1, ""学习提升占比"": 26.8, ""负荷等级"": ""饱和""}",,57,不及格,6187,4,15.7,61,54,69,74
170,300170,徐晚浩,测试管理部,应用研发,33.4,男,本科,6.3,1.5,3.2,0,0,1,4,0,1,8.2,0,1,0,0,0,0,0,0,0,无,2,0,0,5,2,1,0,0,23,否,3,4,1,3,2,3,2,3,3,1,3,3,4,5,3,A,B,B-,数据分析,羽毛球,徐晚浩（测试管理部/应用研发） | 男，33.4岁，本科，行龄6.3年 | 绩效3.2分，日均工时8.2h，牵头项目1个 | 角色：重点项目成员 | 最强技能：算法模型开发能力(4分)、数据分析工具运用能力(3分)、SQL开发(3分) | 软技能：领导力5分/任务拆解能力4分/学习能力3分 | 360评价：上级A/同级B | 岗位匹配：低-错配风险(技能均分2.5) | 分组：对公应用组 | 工作类型：开发（含模型、应用、数仓等）/测试/生产运维 | 饱和度：93.7%(饱和) | 手头项目：长文本智能分析、绿色金融智能体、智能问数二期、离线数据开发日常运维与功能迭代,性能测试组,"[""智能尽调助手后端服务开发，完成测试框架的接口设计与实现"", ""智能外呼分析性能优化，完成知识图谱模块的并发处理能力提升"", ""客户经理超级工作台性能优化，完成数据接入层的并发处理能力提升"", ""Hadoop数据仓库微服务架构升级，完成消息队列模块的服务拆分与治理""]","[""长文本智能分析"", ""绿色金融智能体"", ""智能问数二期"", ""离线数据开发日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""测试"", ""生产运维""]","[""会话式人工智能服务""]","{""总体饱和度"": 93.7, ""开发/实施占比"": 41.4, ""会议沟通占比"": 18.5, ""文档撰写占比"": 14.9, ""学习提升占比"": 25.1, ""负荷等级"": ""饱和""}",,48,不及格,8759,2,25.8,71,52,66,83
171,300171,崔辉飞,智能平台部,算法工程,34.8,男,本科,0.9,3.3,4.36,0,1,0,0,3,4,7.9,0,0,0,0,1,0,0,1,1,技术标兵,1,0,0,4,1,1,0,0,17,否,5,2,3,3,3,5,3,3,4,5,2,5,3,2,5,B,B+,A-,数据分析,烹饪,崔辉飞（智能平台部/算法工程） | 男，34.8岁，本科，行龄0.9年 | 绩效4.36分，日均工时7.9h，牵头项目4个 | 角色：外部PM | 最强技能：数据分析工具运用能力(5分)、编程与工程实现(5分)、数学与建模理论基础(4分) | 软技能：创新思维5分/团队合作5分/任务拆解能力3分 | 360评价：上级B/同级B+ | 岗位匹配：高(技能均分4.5) | 分组：风险模型组 | 工作类型：开发（含模型、应用、数仓等）/项目管理（含外包管理）/数据分析 | 饱和度：91.7%(饱和) | 手头项目：AI客户经营、客服辅助项目、智能数据血缘分析工具日常运维与功能迭代,架构安全组,"[""授信政策管理系统机器学习模型训练，完成数据接入层的特征工程与调参"", ""Hadoop集群NLP模型部署，完成特征工程模块的推理性能优化"", ""信贷场景MVPRAG检索链路开发，完成测试框架的向量数据库接入"", ""智能问数助手RAG检索链路开发，完成数据接入层的向量数据库接入""]","[""AI客户经营"", ""客服辅助项目"", ""智能数据血缘分析工具日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""项目管理（含外包管理）"", ""数据分析""]","[""会话式人工智能服务""]","{""总体饱和度"": 91.7, ""开发/实施占比"": 69.2, ""会议沟通占比"": 21.6, ""文档撰写占比"": 9.3, ""学习提升占比"": 0, ""负荷等级"": ""饱和""}",,92,优秀,14172,0,5.9,57,60,84,41
172,300172,汪时,数据平台部,架构管理,28.3,女,本科,1.3,3.7,3.35,1,0,0,0,2,0,8.5,0,1,0,1,0,0,0,0,0,无,1,1,1,2,0,2,0,0,21,是,4,4,3,4,2,3,4,2,2,5,2,5,2,3,2,A+,B,B-,数据分析,运动,汪时（数据平台部/架构管理） | 女，28.3岁，本科，行龄1.3年 | 绩效3.35分，日均工时8.5h，牵头项目0个 | 角色：重点项目成员、内部PM | 最强技能：编程与工程实现(5分)、数据分析工具运用能力(4分)、算法模型开发能力(4分) | 软技能：创新思维5分/领导力3分/学习能力2分 | 360评价：上级A+/同级B | 岗位匹配：中(技能均分3.0) | 分组：工具开发组 | 工作类型：架构设计/项目管理（含外包管理）/技术评审 | 饱和度：82.8%(正常) | 手头项目：极客大赛、尽调报告智能体、外搜接口采购、数据测试平台日常运维与功能迭代,工具开发组,"[""数据测试平台安全架构评审，完成前端展示层的合规性检查"", ""数据采集工具云原生架构规划，完成前端展示层的容器化改造方案"", ""参与East数据质量AI分析技术债务清理，输出数据接入层的重构方案""]","[""极客大赛"", ""尽调报告智能体"", ""外搜接口采购"", ""数据测试平台日常运维与功能迭代""]","[""架构设计"", ""项目管理（含外包管理）"", ""技术评审""]","[""智能数据血缘分析工具"", ""金牌催收员""]","{""总体饱和度"": 82.8, ""开发/实施占比"": 42.1, ""会议沟通占比"": 17.0, ""文档撰写占比"": 6.8, ""学习提升占比"": 34.1, ""负荷等级"": ""正常""}",,77,良好,12131,1,18.1,72,95,54,67
173,300173,宋华金,信息统计部,测试,28.2,女,本科,5.3,4.9,4.41,1,0,1,1,2,1,8.8,0,0,0,0,0,0,0,0,1,技术标兵,1,1,0,1,0,1,0,0,15,否,4,1,4,1,4,3,4,3,2,4,3,3,1,3,1,A,B,A,无,羽毛球,宋华金（信息统计部/测试） | 女，28.2岁，本科，行龄5.3年 | 绩效4.41分，日均工时8.8h，牵头项目1个 | 最强技能：数据分析工具运用能力(4分)、营销运营能力(4分)、数据模型设计(4分) | 软技能：学习能力3分/创新思维3分/领导力3分 | 360评价：上级A/同级B | 分组：零售应用组 | 工作类型：测试/开发（含模型、应用、数仓等）/生产运维 | 饱和度：88.8%(饱和) | 手头项目：East数据质量AI分析、统一调度平台日常运维与功能迭代,管理信息组,"[""参与零售客户分群灰度发布验证，完成测试框架的上线 checklist"", ""实时开发平台安全测试，完成可视化组件的渗透测试与漏洞修复验证"", ""数据安全脱敏网关系统性能测试方案设计，完成模型训练层的压测执行与分析""]","[""East数据质量AI分析"", ""统一调度平台日常运维与功能迭代""]","[""测试"", ""开发（含模型、应用、数仓等）"", ""生产运维""]","[""智能问数助手""]","{""总体饱和度"": 88.8, ""开发/实施占比"": 69.5, ""会议沟通占比"": 18.7, ""文档撰写占比"": 7.4, ""学习提升占比"": 4.4, ""负荷等级"": ""饱和""}",,64,及格,6486,1,29.0,86,76,54,73
174,300174,赵月,信息统计部,需求分析,31.8,女,硕士,3.7,5.0,3.91,0,1,1,4,3,1,8.8,0,0,0,0,0,0,1,0,0,无,0,1,1,0,1,0,0,0,13,否,3,4,1,2,5,5,5,3,5,4,3,2,3,4,3,B-,A-,A-,设计,游泳,赵月（信息统计部/需求分析） | 女，31.8岁，硕士，行龄3.7年 | 绩效3.91分，日均工时8.8h，牵头项目1个 | 最强技能：数据模型设计(5分)、技术架构设计(5分)、数学与建模理论基础(5分) | 软技能：领导力4分/学习能力3分/任务拆解能力3分 | 360评价：上级B-/同级A- | 分组：项目管理团队 | 工作类型：需求分析/项目管理（含外包管理）/数据分析 | 饱和度：93.4%(饱和) | 手头项目：尽调报告智能体、信贷场景MVP日常运维与功能迭代,监管统计组,"[""组织信雅达POC业务培训，完成测试框架的操作手册编写"", ""会话式人工智能服务用户访谈与痛点分析，输出用户权限模块的需求规格说明书"", ""参与JSON转代码验证需求变更管理，完成API网关模块的影响评估"", ""实时数据集群业务需求调研，完成推理服务层的需求文档编写""]","[""尽调报告智能体"", ""信贷场景MVP日常运维与功能迭代""]","[""需求分析"", ""项目管理（含外包管理）"", ""数据分析""]","[""长文本智能分析""]","{""总体饱和度"": 93.4, ""开发/实施占比"": 55.5, ""会议沟通占比"": 19.1, ""文档撰写占比"": 5.9, ""学习提升占比"": 19.4, ""负荷等级"": ""饱和""}",,53,不及格,9413,0,21.2,73,66,57,56
175,300175,魏玉磊,数据平台部,算法工程,28.4,男,本科,4.3,2.3,3.75,0,1,1,0,0,2,7.1,1,1,0,0,0,0,0,1,1,年度之星,0,0,0,2,0,3,0,0,19,否,3,4,3,3,3,4,4,2,4,2,2,4,3,2,3,A,B+,A,编程,旅游,魏玉磊（数据平台部/算法工程） | 男，28.4岁，本科，行龄4.3年 | 绩效3.75分，日均工时7.1h，牵头项目2个 | 角色：组长/骨干、重点项目成员 | 最强技能：算法模型开发能力(4分)、技术架构设计(4分)、数学与建模理论基础(4分) | 软技能：创新思维4分/任务拆解能力3分/团队合作3分 | 360评价：上级A/同级B+ | 岗位匹配：中(技能均分3.0) | 分组：零售BP | 工作类型：开发（含模型、应用、数仓等）/项目管理（含外包管理）/数据分析 | 饱和度：82.5%(正常) | 手头项目：司库系统建设、外搜接口采购、AI创意比赛、DWS数据集群日常运维与功能迭代,架构安全组,"[""信雅达POC算法方案评审，输出可视化组件的技术可行性分析"", ""参与信雅达POC大模型应用POC，完成前端展示层的场景验证"", ""智能外呼分析机器学习模型训练，完成API网关模块的特征工程与调参""]","[""司库系统建设"", ""外搜接口采购"", ""AI创意比赛"", ""DWS数据集群日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""项目管理（含外包管理）"", ""数据分析""]","[""智能外呼分析"", ""离线数据开发""]","{""总体饱和度"": 82.5, ""开发/实施占比"": 47.4, ""会议沟通占比"": 11.5, ""文档撰写占比"": 7.7, ""学习提升占比"": 33.5, ""负荷等级"": ""正常""}",,67,及格,9469,1,34.9,70,69,60,34
176,300176,罗琪若,数据开发部,应用研发,30.2,女,本科,3.9,3.9,3.69,1,0,0,0,0,2,7.8,1,0,0,0,0,0,0,0,0,无,3,0,0,2,1,1,0,1,20,是,4,3,3,4,5,4,1,4,5,3,4,4,1,3,3,B-,A,B+,沟通,运动,罗琪若（数据开发部/应用研发） | 女，30.2岁，本科，行龄3.9年 | 绩效3.69分，日均工时7.8h，牵头项目2个 | 角色：组长/骨干 | 最强技能：数据模型设计(5分)、数学与建模理论基础(5分)、数据分析工具运用能力(4分) | 软技能：学习能力4分/创新思维4分/领导力3分 | 360评价：上级B-/同级A | 岗位匹配：低-错配风险(技能均分2.5) | 分组：管理信息组 | 工作类型：开发（含模型、应用、数仓等）/测试/生产运维 | 饱和度：93.6%(饱和) | 手头项目：中试基地项目、授信政策管理系统日常运维与功能迭代,应用开发组,"[""零售客户分群技术方案设计，输出指标计算模块的详细设计文档"", ""火山引擎POC技术方案设计，输出消息队列模块的详细设计文档"", ""Hadoop集群容器化部署，完成可视化组件的CI/CD流程配置"", ""Kafka消息集群容器化部署，完成消息队列模块的CI/CD流程配置""]","[""中试基地项目"", ""授信政策管理系统日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""测试"", ""生产运维""]","[""离线数据开发""]","{""总体饱和度"": 93.6, ""开发/实施占比"": 56.2, ""会议沟通占比"": 19.7, ""文档撰写占比"": 13.5, ""学习提升占比"": 10.6, ""负荷等级"": ""饱和""}",,75,良好,10947,0,17.2,78,71,83,69
177,300177,唐锋东,数据治理部,应用研发,40.7,男,硕士,4.0,4.6,3.7,0,0,0,2,0,0,9.3,0,0,0,0,0,0,0,0,1,优秀导师,1,0,0,3,0,1,0,1,19,否,4,3,4,3,4,3,3,4,5,3,3,2,4,4,2,A,A,B-,培训,音乐,唐锋东（数据治理部/应用研发） | 男，40.7岁，硕士，行龄4.0年 | 绩效3.7分，日均工时9.3h，牵头项目0个 | 最强技能：数学与建模理论基础(5分)、数据分析工具运用能力(4分)、营销运营能力(4分) | 软技能：任务拆解能力4分/领导力4分/学习能力3分 | 360评价：上级A/同级A | 岗位匹配：中(技能均分3.5) | 分组：对公应用组 | 工作类型：开发（含模型、应用、数仓等）/生产运维/测试 | 饱和度：88.8%(饱和) | 手头项目：AI客户经营、信贷场景MVP日常运维与功能迭代,监管数据治理,"[""Kafka消息集群容器化部署，完成测试框架的CI/CD流程配置"", ""参与East数据质量AI分析代码评审，完成特征工程模块的技术债务清理"", ""实时开发平台性能优化，完成指标计算模块的并发处理能力提升"", ""参与反诈机器学习模型代码评审，完成特征工程模块的技术债务清理"", ""零售客户分群技术方案设计，输出知识图谱模块的详细设计文档""]","[""AI客户经营"", ""信贷场景MVP日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""生产运维"", ""测试""]","[""长文本智能分析""]","{""总体饱和度"": 88.8, ""开发/实施占比"": 53.1, ""会议沟通占比"": 15.3, ""文档撰写占比"": 6.2, ""学习提升占比"": 25.4, ""负荷等级"": ""饱和""}",,63,及格,5583,1,8.9,83,46,99,69
178,300178,龙白宁,数据开发部,需求分析,29.3,女,本科,0.5,6.5,2.57,1,0,0,3,2,1,9.0,1,1,0,0,0,0,0,0,0,无,1,0,0,2,1,2,1,0,15,否,1,4,4,3,2,3,2,5,3,4,3,5,4,5,3,B+,B,B+,写作,跑步,龙白宁（数据开发部/需求分析） | 女，29.3岁，本科，行龄0.5年 | 绩效2.57分，日均工时9.0h，牵头项目1个 | 角色：组长/骨干、重点项目成员 | 最强技能：应用开发能力(5分)、算法模型开发能力(4分)、营销运营能力(4分) | 软技能：创新思维5分/领导力5分/任务拆解能力4分 | 360评价：上级B+/同级B | 分组：服务管理组 | 工作类型：需求分析/数据分析/项目管理（含外包管理） | 饱和度：105.8%(高负荷) | 手头项目：智能外呼分析、信贷场景MVP、通用办公助手、信贷场景MVP日常运维与功能迭代,应用开发组,"[""尽调报告智能体需求评审会议组织，完成任务调度模块的需求澄清与确认"", ""绿色金融业务管理用户体验优化，完成任务调度模块的交互流程改进"", ""数据测试平台业务需求调研，完成测试框架的需求文档编写"", ""A模式POC验证需求评审会议组织，完成特征工程模块的需求澄清与确认"", ""组织信雅达POC业务培训，完成测试框架的操作手册编写""]","[""智能外呼分析"", ""信贷场景MVP"", ""通用办公助手"", ""信贷场景MVP日常运维与功能迭代""]","[""需求分析"", ""数据分析"", ""项目管理（含外包管理）""]","[""数据采集工具""]","{""总体饱和度"": 105.8, ""开发/实施占比"": 50.1, ""会议沟通占比"": 21.6, ""文档撰写占比"": 11.1, ""学习提升占比"": 17.2, ""负荷等级"": ""高负荷""}",,64,及格,4766,0,16.8,63,55,75,84
